,Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
0,Fin w/bulb & spade rudder,Fractional  Sloop,10.30 m,8.20 m,2.50 m,41.81 m<sup>2</sup>,1.80 m,"1,600 kg",725 kg,31.16,45.31,80.89,"FG w/core,Composite",Lead,1990,350,Ron Holland & Rolf Gyhlenius,11.41,2.16,6.48,9.81 m,3.10 m,11.00 m,4.15 m,4.00 m,12.50 m,15.22 m<sup>2</sup>,22.83 m<sup>2</sup>,28.36,10.29 m,"<a class="""" href=""https://sailboatdata.com/sailboat/11-meter/pdf"">PDF</a>",11 METER,,,,,,,,,,,,,,,,,
1,Fin w/bulb & spade rudder,Fractional  Sloop,7.32 m,5.49 m,1.27 m,14.59 m<sup>2</sup>,0.91 m,413 kg,136 kg,26.80,32.97,69.66,Plywood or GRP,Iron,1938,750,C. Raymond Hunt,10.58,1.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/110/pdf"">PDF</a>",110,,,,,,,,,,,,,,,,,
2,Centerboard Dinghy,Gunter,5.97 m,5.39 m,1.43 m,12.73 m<sup>2</sup>,0.29 m,231 kg,,34.39,,41.06,Wood,,1931,,Krogen Brothers,5.48,2.35,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/12-square-meter-sharpie/pdf"">PDF</a>",12 SQUARE METER SHARPIE,0.97 m,,,,,,,,,,,,,,,,
3,Centerboard Dinghy,Fractional  Sloop,3.81 m,,1.43 m,9.48 m<sup>2</sup>,0.58 m,50 kg,,71.11,,,Plywood/FG,,1971,3100,Simon Grieg,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/125/pdf"">PDF</a>",125,0.08 m,See Class Association,Various,,,,,,,,,,,,,,
4,Fin w/bulb & spade rudder,Fractional  Sloop,10.67 m,9.60 m,3.28 m,74.51 m<sup>2</sup>,2.31 m,"2,971 kg","1,145 kg",36.77,38.55,93.55,FG,Lead,1998,48,Nelson/Marek,13.15,2.30,6.50,12.89 m,3.81 m,13.55 m,5.66 m,4.50 m,13.60 m,24.56 m<sup>2</sup>,38.34 m<sup>2</sup>,31.04,13.44 m,"<a class="""" href=""https://sailboatdata.com/sailboat/1d-35/pdf"">PDF</a>",1D 35,,Carroll Marine Ltd.(USA),2GM20FC,2001,Yanmar,Diesel,18.5,45 L,1.62 m,159 L,,,,,,,
5,Fin w/bulb & spade rudder,Fractional  Sloop,14.76 m,12.47 m,4.32 m,110.74 m<sup>2</sup>,3.07 m,"8,150 kg","4,000 kg",27.91,49.08,117.06,Carbon inside/Kevlar ext./SCRIMP,Lead + Water,1995,8,Reichel Pugh Yacht Design,18.84,2.17,5.48,17.60 m,5.11 m,18.77 m,7.01 m,6.10 m,20.82 m,44.93 m<sup>2</sup>,65.79 m<sup>2</sup>,27.90,18.33 m,"<a class="""" href=""https://sailboatdata.com/sailboat/1d-48/pdf"">PDF</a>",1D 48,,Tillotson Pearson (USA),3JH2,1996,Yanmar,Diesel,21,83 L,,,,,,,,,
6,Dbrd. Dinghy,Fractional  Sloop,4.63 m,,1.69 m,6.97 m<sup>2</sup>,1.00 m,160 kg,,24.05,,,FG,,2000,,,,3.14,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/2-kronan/pdf"">PDF</a>",2-KRONAN,0.15 m,Krona Boats (SWE),,,,,,,,,,,,,,,
7,Fin w/spade rudder,Fractional  Sloop,4.11 m,3.66 m,0.81 m,7.43 m<sup>2</sup>,0.99 m,272 kg,159 kg,18.02,58.33,155.01,FG,Lead,1986,,Various,20.28,1.26,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/24-meter/pdf"">PDF</a>",2.4 METER,,Various,,,,,,,,,,,,,,,
8,Fin with rudder on skeg,Fractional  Sloop,9.09 m,6.86 m,1.78 m,28.34 m<sup>2</sup>,1.17 m,"1,043 kg",519 kg,28.07,49.78,90.14,Ply with single chine or FG,Iron,1946,460,C. Raymond Hunt,13.73,1.77,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/210/pdf"">PDF</a>",210,,Graves Yacht Yard (USA),,,,,,,,,,,,,,,
9,Centerboard Dinghy,Fractional  Sloop,4.40 m,,1.70 m,13.19 m<sup>2</sup>,0.70 m,90 kg,,66.92,,,FG,,1998,,Julian Bethwaite,,3.83,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/29er/pdf"">PDF</a>",29ER,,Several under License,,,,,,,,,,,,,,,
10,Centerboard Dinghy,Cat (Marconi),3.70 m,,1.52 m,8.73 m<sup>2</sup>,,48 kg,,67.17,,,FG,,1971,,Bruce Farr,,4.22,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/37-farr/pdf"">PDF</a>",3.7 (FARR),,,,,,,,,,,,,,,,,
11,Centerboard Dinghy,Fractional  Sloop,3.90 m,,1.54 m,8.45 m<sup>2</sup>,0.53 m,80 kg,,46.39,,,FG,,1968,,Christian Maury,,3.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/390-lanaverre/pdf"">PDF</a>",390 (LANAVERRE),0.10 m,Lanaverre (FRA),,,,,,,,,,,,,,,
12,Centerboard Dinghy,Fractional  Sloop,4.05 m,3.93 m,1.38 m,7.98 m<sup>2</sup>,0.09 m,64 kg,,50.76,,29.32,FG,,1992,200,Chris Benedict,2.23,3.48,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/405-hobie/pdf"">PDF</a>",405 (HOBIE),0.27 m,Hobie Cat / Ultimate Sailboats (USA),,,,,,,,,,,,,,,
13,Centerboard Dinghy,Fractional  Sloop,4.20 m,4.01 m,1.65 m,13.01 m<sup>2</sup>,0.97 m,100 kg,,61.52,,42.99,FG,,1959,56000,Christian Maury,2.68,3.59,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/420/pdf"">PDF</a>",420,0.15 m,Various,,,,,,,,,,,,,,,
14,Centerboard Dinghy,Fractional  Sloop,4.70 m,4.44 m,1.68 m,12.73 m<sup>2</sup>,0.97 m,122 kg,,52.65,,38.75,FG,,1963,,André Cornu,2.89,3.41,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/470/pdf"">PDF</a>",470,0.15 m,Various,,,,,,,,,,,,,,,
15,Centerboard Dinghy,Fractional  Sloop,4.90 m,4.48 m,1.74 m,14.40 m<sup>2</sup>,1.16 m,127 kg,,58.00,,39.35,FG or Wood,,1968,,Christian Maury,2.82,3.49,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/490/pdf"">PDF</a>",490,,Various,,,,,,,,,,,,,,,
16,Centerboard Dinghy,Fractional  Sloop,4.88 m,,1.93 m,21.27 m<sup>2</sup>,1.50 m,122 kg,,87.79,,,FG,,1999,,Julian Bethwaite,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/49er/pdf"">PDF</a>",49ER,,,,,,,,,,,,,,,,,
17,Centerboard Dinghy,Fractional  Sloop,4.88 m,,1.93 m,19.23 m<sup>2</sup>,1.50 m,122 kg,,79.36,,,FG,,2010,,Julian Bethwaite,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/49erfx/pdf"">PDF</a>",49ERFX,,,,,,,,,,,,,,,,,
18,Fin Keel,Fractional  Sloop,9.91 m,7.01 m,1.98 m,28.80 m<sup>2</sup>,1.35 m,"1,814 kg",,19.74,,146.77,Wood/FG,Lead,1949,800,Various,19.75,1.64,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/55-meter/pdf"">PDF</a>",5.5 METER,,,,,,,,,,,,,,,,,
19,Centerboard Dinghy,Fractional  Sloop,5.03 m,4.57 m,1.88 m,16.26 m<sup>2</sup>,1.42 m,127 kg,,65.49,,37.04,Wood/FG,,1954,9100,John Westell/Austin Farrar ,2.47,3.78,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/505/pdf"">PDF</a>",505,0.15 m,Various,,,,,,,,,,,,,,,
