Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,img_path,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
Fin w/bulb & spade rudder,Fractional  Sloop,10.30 m,8.20 m,2.50 m,41.81 m<sup>2</sup>,1.80 m,"1,600 kg",725 kg,31.16,45.31,80.89,"FG w/core,Composite",Lead,1990,350,Ron Holland & Rolf Gyhlenius,11.41,2.16,6.48,9.81 m,3.10 m,11.00 m,4.15 m,4.00 m,12.50 m,15.22 m<sup>2</sup>,22.83 m<sup>2</sup>,28.36,10.29 m,"<a class="""" href=""https://sailboatdata.com/sailboat/11-meter/pdf"">PDF</a>",11 METER,00000.jpg,,,,,,,,,,,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,10.30 m,8.20 m,2.50 m,41.81 m<sup>2</sup>,1.80 m,"1,600 kg",725 kg,31.16,45.31,80.89,"FG w/core,Composite",Lead,1990,350,Ron Holland & Rolf Gyhlenius,11.41,2.16,6.48,9.81 m,3.10 m,11.00 m,4.15 m,4.00 m,12.50 m,15.22 m<sup>2</sup>,22.83 m<sup>2</sup>,28.36,10.29 m,"<a class="""" href=""https://sailboatdata.com/sailboat/11-meter/pdf"">PDF</a>",11 METER,00001.jpg,,,,,,,,,,,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,7.32 m,5.49 m,1.27 m,14.59 m<sup>2</sup>,0.91 m,413 kg,136 kg,26.80,32.97,69.66,Plywood or GRP,Iron,1938,750,C. Raymond Hunt,10.58,1.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/110/pdf"">PDF</a>",110,00002.jpg,,,,,,,,,,,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,7.32 m,5.49 m,1.27 m,14.59 m<sup>2</sup>,0.91 m,413 kg,136 kg,26.80,32.97,69.66,Plywood or GRP,Iron,1938,750,C. Raymond Hunt,10.58,1.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/110/pdf"">PDF</a>",110,00003.jpg,,,,,,,,,,,,,,,,,
Centerboard Dinghy,Gunter,5.97 m,5.39 m,1.43 m,12.73 m<sup>2</sup>,0.29 m,231 kg,,34.39,,41.06,Wood,,1931,,Krogen Brothers,5.48,2.35,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/12-square-meter-sharpie/pdf"">PDF</a>",12 SQUARE METER SHARPIE,00004.jpg,0.97 m,,,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,3.81 m,,1.43 m,9.48 m<sup>2</sup>,0.58 m,50 kg,,71.11,,,Plywood/FG,,1971,3100,Simon Grieg,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/125/pdf"">PDF</a>",125,00005.jpg,0.08 m,See Class Association,Various,,,,,,,,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,10.67 m,9.60 m,3.28 m,74.51 m<sup>2</sup>,2.31 m,"2,971 kg","1,145 kg",36.77,38.55,93.55,FG,Lead,1998,48,Nelson/Marek,13.15,2.30,6.50,12.89 m,3.81 m,13.55 m,5.66 m,4.50 m,13.60 m,24.56 m<sup>2</sup>,38.34 m<sup>2</sup>,31.04,13.44 m,"<a class="""" href=""https://sailboatdata.com/sailboat/1d-35/pdf"">PDF</a>",1D 35,00006.jpg,,Carroll Marine Ltd.(USA),2GM20FC,2001,Yanmar,Diesel,18.5,45 L,1.62 m,159 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,10.67 m,9.60 m,3.28 m,74.51 m<sup>2</sup>,2.31 m,"2,971 kg","1,145 kg",36.77,38.55,93.55,FG,Lead,1998,48,Nelson/Marek,13.15,2.30,6.50,12.89 m,3.81 m,13.55 m,5.66 m,4.50 m,13.60 m,24.56 m<sup>2</sup>,38.34 m<sup>2</sup>,31.04,13.44 m,"<a class="""" href=""https://sailboatdata.com/sailboat/1d-35/pdf"">PDF</a>",1D 35,00007.jpg,,Carroll Marine Ltd.(USA),2GM20FC,2001,Yanmar,Diesel,18.5,45 L,1.62 m,159 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,14.76 m,12.47 m,4.32 m,110.74 m<sup>2</sup>,3.07 m,"8,150 kg","4,000 kg",27.91,49.08,117.06,Carbon inside/Kevlar ext./SCRIMP,Lead + Water,1995,8,Reichel Pugh Yacht Design,18.84,2.17,5.48,17.60 m,5.11 m,18.77 m,7.01 m,6.10 m,20.82 m,44.93 m<sup>2</sup>,65.79 m<sup>2</sup>,27.90,18.33 m,"<a class="""" href=""https://sailboatdata.com/sailboat/1d-48/pdf"">PDF</a>",1D 48,00008.jpg,,Tillotson Pearson (USA),3JH2,1996,Yanmar,Diesel,21,83 L,,,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,14.76 m,12.47 m,4.32 m,110.74 m<sup>2</sup>,3.07 m,"8,150 kg","4,000 kg",27.91,49.08,117.06,Carbon inside/Kevlar ext./SCRIMP,Lead + Water,1995,8,Reichel Pugh Yacht Design,18.84,2.17,5.48,17.60 m,5.11 m,18.77 m,7.01 m,6.10 m,20.82 m,44.93 m<sup>2</sup>,65.79 m<sup>2</sup>,27.90,18.33 m,"<a class="""" href=""https://sailboatdata.com/sailboat/1d-48/pdf"">PDF</a>",1D 48,00009.jpg,,Tillotson Pearson (USA),3JH2,1996,Yanmar,Diesel,21,83 L,,,,,,,,,
Dbrd. Dinghy,Fractional  Sloop,4.63 m,,1.69 m,6.97 m<sup>2</sup>,1.00 m,160 kg,,24.05,,,FG,,2000,,,,3.14,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/2-kronan/pdf"">PDF</a>",2-KRONAN,00010.jpg,0.15 m,Krona Boats (SWE),,,,,,,,,,,,,,,
Dbrd. Dinghy,Fractional  Sloop,4.63 m,,1.69 m,6.97 m<sup>2</sup>,1.00 m,160 kg,,24.05,,,FG,,2000,,,,3.14,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/2-kronan/pdf"">PDF</a>",2-KRONAN,00011.jpg,0.15 m,Krona Boats (SWE),,,,,,,,,,,,,,,
Fin w/spade rudder,Fractional  Sloop,4.11 m,3.66 m,0.81 m,7.43 m<sup>2</sup>,0.99 m,272 kg,159 kg,18.02,58.33,155.01,FG,Lead,1986,,Various,20.28,1.26,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/24-meter/pdf"">PDF</a>",2.4 METER,00012.jpg,,Various,,,,,,,,,,,,,,,
Fin w/spade rudder,Fractional  Sloop,4.11 m,3.66 m,0.81 m,7.43 m<sup>2</sup>,0.99 m,272 kg,159 kg,18.02,58.33,155.01,FG,Lead,1986,,Various,20.28,1.26,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/24-meter/pdf"">PDF</a>",2.4 METER,00013.jpg,,Various,,,,,,,,,,,,,,,
Fin with rudder on skeg,Fractional  Sloop,9.09 m,6.86 m,1.78 m,28.34 m<sup>2</sup>,1.17 m,"1,043 kg",519 kg,28.07,49.78,90.14,Ply with single chine or FG,Iron,1946,460,C. Raymond Hunt,13.73,1.77,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/210/pdf"">PDF</a>",210,00014.jpg,,Graves Yacht Yard (USA),,,,,,,,,,,,,,,
