Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,img_path,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number,image_hash
19,13,10.3,8.2,2.5,41.81,1.8,1600.0,725.0,31.16,45.31,80.89,238,57,1990.0,350.0,1951,11.41,2.16,6.48,9.81,3.1,11.0,4.15,4.0,12.5,15.22,22.83,28.36,10.29,"<a class="""" href=""https://sailboatdata.com/sailboat/11-meter/pdf"">PDF</a>",8,00000.jpg,,,,,,,,,,,,,,,,,,fff7f3e3e7c00000
19,13,10.3,8.2,2.5,41.81,1.8,1600.0,725.0,31.16,45.31,80.89,238,57,1990.0,350.0,1951,11.41,2.16,6.48,9.81,3.1,11.0,4.15,4.0,12.5,15.22,22.83,28.36,10.29,"<a class="""" href=""https://sailboatdata.com/sailboat/11-meter/pdf"">PDF</a>",8,00001.jpg,,,,,,,,,,,,,,,,,,f7e7d7d700030101
19,13,7.32,5.49,1.27,14.59,0.91,413.0,136.0,26.8,32.97,69.66,439,41,1938.0,750.0,311,10.58,1.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/110/pdf"">PDF</a>",0,00002.jpg,,,,,,,,,,,,,,,,,,0064f0f8f8f8f680
19,13,7.32,5.49,1.27,14.59,0.91,413.0,136.0,26.8,32.97,69.66,439,41,1938.0,750.0,311,10.58,1.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/110/pdf"">PDF</a>",0,00003.jpg,,,,,,,,,,,,,,,,,,f7f7f3f3d3f70080
10,24,5.97,5.39,1.43,12.73,0.29,231.0,,34.39,,41.06,509,-1,1931.0,,1367,5.48,2.35,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/12-square-meter-sharpie/pdf"">PDF</a>",9,00004.jpg,0.97,,,,,,,,,,,,,,,,,f7f7e3e3c3c10063
10,13,3.81,,1.43,9.48,0.58,50.0,,71.11,,,445,-1,1971.0,3100.0,2005,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/125/pdf"">PDF</a>",1,00005.jpg,0.08,See Class Association,Various,,,,,,,,,,,,,,,000048f8fcfcffff
19,13,10.67,9.6,3.28,74.51,2.31,2971.0,1145.0,36.77,38.55,93.55,86,57,1998.0,48.0,1599,13.15,2.3,6.5,12.89,3.81,13.55,5.66,4.5,13.6,24.56,38.34,31.04,13.44,"<a class="""" href=""https://sailboatdata.com/sailboat/1d-35/pdf"">PDF</a>",10,00006.jpg,,Carroll Marine Ltd.(USA),2GM20FC,2001.0,Yanmar,Diesel,18.5,45 L,1.62,159 L,,,,,,,,30100e393f1f0600
19,13,10.67,9.6,3.28,74.51,2.31,2971.0,1145.0,36.77,38.55,93.55,86,57,1998.0,48.0,1599,13.15,2.3,6.5,12.89,3.81,13.55,5.66,4.5,13.6,24.56,38.34,31.04,13.44,"<a class="""" href=""https://sailboatdata.com/sailboat/1d-35/pdf"">PDF</a>",10,00007.jpg,,Carroll Marine Ltd.(USA),2GM20FC,2001.0,Yanmar,Diesel,18.5,45 L,1.62,159 L,,,,,,,,f7f7f7c383070300
19,13,14.76,12.47,4.32,110.74,3.07,8150.0,4000.0,27.91,49.08,117.06,39,59,1995.0,8.0,1833,18.84,2.17,5.48,17.6,5.11,18.77,7.01,6.1,20.82,44.93,65.79,27.9,18.33,"<a class="""" href=""https://sailboatdata.com/sailboat/1d-48/pdf"">PDF</a>",11,00008.jpg,,Tillotson Pearson (USA),3JH2,1996.0,Yanmar,Diesel,21.0,83 L,,,,,,,,,,ffffe7e707000000
19,13,14.76,12.47,4.32,110.74,3.07,8150.0,4000.0,27.91,49.08,117.06,39,59,1995.0,8.0,1833,18.84,2.17,5.48,17.6,5.11,18.77,7.01,6.1,20.82,44.93,65.79,27.9,18.33,"<a class="""" href=""https://sailboatdata.com/sailboat/1d-48/pdf"">PDF</a>",11,00009.jpg,,Tillotson Pearson (USA),3JH2,1996.0,Yanmar,Diesel,21.0,83 L,,,,,,,,,,e7efffdfc3838383
