Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,img_path,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
16,30,4.99,4.7,2.1,19.0,1.15,560.0,250.0,28.49,44.62,150.37,89,-1,1978.0,,623,9.28,2.57,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/ec-17-mosquito/pdf"">PDF</a>",1930,02846.jpg,,268,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
19,13,16.79,15.16,4.95,134.71,2.21,16695.0,4389.0,21.06,26.29,133.45,350,8,2013.0,,176,27.04,1.96,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/oceanis-55-beneteau/pdf"">PDF</a>",4626,06875.jpg,,300,-1,,-1,12,188,197,,188,-1,,,,,23.93,
23,30,11.13,9.02,3.76,61.78,1.98,6804.0,2631.0,17.56,38.67,258.73,89,52,1985.0,,2216,25.81,2.0,2.13,14.36,4.69,12.5,4.42,,,33.69,27.62,17.42,15.1,"<a class="""" href=""https://sailboatdata.com/sailboat/pearson-36-2/pdf"">PDF</a>",4885,07273.jpg,,2064,400,1990.0,176,12,115,318,,194,-1,,,,,15.85,
19,30,14.15,11.9,4.18,105.0,2.3,12400.0,5200.0,20.01,41.94,205.1,89,52,2000.0,,1689,31.34,1.82,2.91,18.2,5.3,17.75,6.0,,,48.23,53.25,19.34,18.96,"<a class="""" href=""https://sailboatdata.com/sailboat/sweden-yachts-45/pdf"">PDF</a>",6276,09304.jpg,,2592,625,,143,12,188,145,,217,-1,,,,,,
25,30,9.81,7.98,3.15,44.59,1.7,4763.0,1860.0,16.07,39.05,261.54,89,52,1984.0,,-1,25.87,1.89,1.98,12.83,4.05,11.28,3.29,,,26.01,18.56,16.06,13.46,"<a class="""" href=""https://sailboatdata.com/sailboat/sabre-32-tri-cabin/pdf"">PDF</a>",5324,07917.jpg,,2311,55,1987.0,165,12,-1,302,,121,-1,,,,,,
18,13,18.28,16.82,5.2,131.0,2.55,20170.0,4645.0,18.05,23.03,118.15,492,8,2021.0,,1723,27.77,1.93,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/jeanneau-yachts-60/pdf"">PDF</a>",3396,05082.jpg,,1374,-1,,176,15,9,161,,196,-1,,,,,25.1,
23,30,9.14,8.08,3.25,38.46,1.45,3629.0,1179.0,16.61,32.5,191.91,89,52,1974.0,,747,19.17,2.14,2.76,12.04,3.7,10.36,3.12,4.04,,22.26,16.19,16.61,12.59,"<a class="""" href=""https://sailboatdata.com/sailboat/newport-30-2/pdf"">PDF</a>",4416,06553.jpg,,482,320,,133,48,19,302,,127,-1,,,,,,
41,9,13.94,11.61,4.37,105.07,1.52,14515.0,5443.0,18.03,37.5,258.71,89,52,2005.0,,229,35.34,1.81,1.86,17.42,5.28,14.65,5.28,,,46.01,38.7,14.54,18.21,"<a class="""" href=""https://sailboatdata.com/sailboat/island-packet-440/pdf"">PDF</a>",3323,04972.jpg,,1318,-1,,176,12,188,265,,395,-1,,,,,18.9,
10,13,4.5,4.27,1.73,11.15,1.22,109.0,,49.76,,39.05,582,-1,1963.0,700.0,1245,2.58,3.65,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seafly/pdf"">PDF</a>",5568,08255.jpg,0.21,2504,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
42,13,7.01,5.59,1.98,23.23,1.22,2495.0,1542.0,12.88,61.82,398.68,510,39,1955.0,50.0,39,35.57,1.48,0.91,7.32,2.44,8.31,3.43,,,8.92,14.24,12.84,7.71,"<a class="""" href=""https://sailboatdata.com/sailboat/spartan-2-buchanan/pdf"">PDF</a>",5898,08737.jpg,,-1,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
