,Builder
jeanneau (fra),0.01786565030967127
beneteau,0.01560266793711291
beneteau (fra),0.013577894235350167
hunter marine (usa),0.012744163887565507
pearson yachts (usa),0.011314911862791805
catalina yachts (usa),0.009290138161029061
cheoy lee shipyard ltd.(hk),0.008337303477846593
bavaria yachts (ger),0.0072653644592663175
nautor,0.00631252977608385
hallberg-rassy,0.005597903763696998
jeanneau,0.005240590757503573
various,0.0050023820867079564
"tillotson pearson inc, (usa)",0.0050023820867079564
columbia yachts (usa),0.004883277751310148
w. d. schock corp.(usa),0.004883277751310148
westerly marine ltd. (uk),0.004883277751310148
hanse yachts,0.004883277751310148
kirie (fra),0.004764173415912339
jensen marine (usa),0.004525964745116722
tartan marine (usa),0.004525964745116722
ericson yachts (usa),0.0041686517389232965
morgan yachts (usa),0.0041686517389232965
irwin yachts (usa),0.004049547403525489
x yachts (den),0.004049547403525489
dufour,0.0035731300619342545
sabre yachts (usa),0.003454025726536446
baltic yachts (fin),0.0033349213911386373
dufour (fra),0.0033349213911386373
island packet yachts (usa),0.0032158170557408288
conyplex,0.0028585040495474035
bristol yachts inc. (usa),0.0028585040495474035
dehler (ger),0.0028585040495474035
dehler,0.002739399714149595
s2 yachts,0.002739399714149595
hinterhoeller yachts ltd. (can),0.0026202953787517864
hallberg-rassy (swe),0.0025011910433539782
henri wauquiez (fra),0.0025011910433539782
amel (fra),0.0025011910433539782
northman shipyard (pl),0.0023820867079561697
etap yachting (bel),0.0023820867079561697
ta shing yacht building (taiwan),0.0023820867079561697
cape dory yachts (usa),0.0023820867079561697
marine projects ltd. (uk),0.0023820867079561697
gulfstar yachts (usa),0.0023820867079561697
capital yachts inc. (usa),0.0023820867079561697
islander yachts (usa),0.002262982372558361
hanse yachts (ger),0.0021438780371605525
dufour yachts,0.0021438780371605525
zaadnoordijk watersport (ned),0.0020247737017627444
precision boat works (usa),0.0020247737017627444
neptun boote gmbh & co kg,0.0020247737017627444
oyster marine,0.0020247737017627444
najad yachts (swe),0.0020247737017627444
lagoon,0.0020247737017627444
beneteau (usa),0.0020247737017627444
endeavour yacht corp. (usa),0.0019056693663649356
passport yachts inc. (taiwan),0.0019056693663649356
catana (fra),0.0019056693663649356
tanzer industries ltd. (can),0.0019056693663649356
victoire jachtbouw (nl),0.0019056693663649356
com-pac yachts (usa),0.0019056693663649356
fountaine pajot (fra),0.0019056693663649356
laguna yachts (usa),0.0019056693663649356
robertson and caine,0.0017865650309671272
grampian marine ltd. (can),0.0017865650309671272
clark boat co. (usa),0.0017865650309671272
cnso (fra),0.0017865650309671272
ta yang yacht building co. (taiwan),0.0016674606955693187
alubat (fra),0.0016674606955693187
hobie cat,0.0016674606955693187
macgregor yacht corp. (usa),0.0016674606955693187
nautor (fin),0.0016674606955693187
cantiere del pardo (ita),0.0016674606955693187
comar (ita),0.0016674606955693187
morris yachts,0.0016674606955693187
x-yachts (den),0.0016674606955693187
hunter boats (uk),0.0016674606955693187
alpa (ita),0.0016674606955693187
schöchl yachtbau,0.0015483563601715103
fountaine pajot,0.0015483563601715103
maxi yachts (swe),0.0015483563601715103
fountaine-pajot (fra),0.0015483563601715103
coronado yachts (usa),0.0015483563601715103
pacific seacraft,0.0015483563601715103
chris-craft (usa),0.0014292520247737017
najad varvet ab,0.0014292520247737017
watkins yachts inc. (usa),0.0014292520247737017
yachting france (fra),0.0014292520247737017
ontario yachts (can),0.0014292520247737017
thames marine (uk),0.0014292520247737017
faurby yachts (den),0.0014292520247737017
malo yachts (swe),0.0014292520247737017
ta chaio shipbuilding co. (taiwan),0.0014292520247737017
rs sailing,0.0014292520247737017
mirage yachts ltd. (can),0.0014292520247737017
oyster marine ltd. (uk),0.0014292520247737017
albin marine (swe),0.0013101476893758932
tartan marine,0.0013101476893758932
maxi yachts,0.0013101476893758932
coniplex,0.0013101476893758932
cantiere del pardo,0.0013101476893758932
bavaria yachts,0.0013101476893758932
sweden yachts,0.0013101476893758932
soverel marine (usa),0.0013101476893758932
ouyang boat works (can),0.0013101476893758932
elan yachts,0.0013101476893758932
elan yachts (slo),0.0013101476893758932
marine projects ltd,0.0013101476893758932
archambault (fra),0.0013101476893758932
edel (fra),0.0013101476893758932
camper & nicholson ltd. (uk),0.0013101476893758932
canadian sailcraft (can),0.0013101476893758932
us yachts - bayliner (usa),0.0011910433539780848
camper & nicholson,0.0011910433539780848
hughes boatworks ltd.(can),0.0011910433539780848
peter webster ltd. (uk),0.0011910433539780848
"hake yachts, inc. (usa)",0.0011910433539780848
allied boat co. (usa),0.0011910433539780848
delphia yachts,0.0011910433539780848
bayliner marine corp. (usa),0.0011910433539780848
chantier alubat (fra),0.0011910433539780848
little harbor,0.0011910433539780848
queen long marine,0.0010719390185802763
seidelmann yachts (usa),0.0010719390185802763
bayliner marine corp (usa),0.0010719390185802763
alden yachts inc. (usa),0.0010719390185802763
bandholm (den),0.0010719390185802763
newport boats (usa),0.0010719390185802763
elan (slov),0.0010719390185802763
macgregor yachts corp. (usa),0.0010719390185802763
yamaha (jap),0.0010719390185802763
cornish crabbers ltd. (uk),0.0010719390185802763
dufour yachts (fra),0.0010719390185802763
westerly yachts ltd. (uk),0.0010719390185802763
luffe yachts (den),0.0010719390185802763
corsair marine (usa),0.0010719390185802763
delphia yachts (pol),0.0010719390185802763
carroll marine,0.0010719390185802763
maxi yachts / börjesson brothers,0.0010719390185802763
belliure (esp),0.0010719390185802763
la prairie (fra),0.0010719390185802763
sailstar boats (usa),0.0010719390185802763
spencer boats ltd,0.0009528346831824678
x-yachts (dn),0.0009528346831824678
nordborg baadebyggeri (den),0.0009528346831824678
oy nykra ab (fin),0.0009528346831824678
caliber yachts (usa),0.0009528346831824678
sportlake s.a./delphia yachts,0.0009528346831824678
alliaura marine (france),0.0009528346831824678
sunbeam yachts,0.0009528346831824678
