,Construction
fg,0.7620295378751787
wood,0.02644116245831348
grp,0.026083849452120056
wood/fg,0.01572177227251072
plywood,0.005955216769890424
aluminum,0.005597903763696998
wood or fg,0.005597903763696998
fg w/balsa cored deck,0.005359695092901381
composite,0.00393044306812768
wood planked,0.003811338732729871
plywood/fg,0.002977608384945212
fg composite,0.0026202953787517864
aluminium,0.0023820867079561697
fg (solid laminate),0.0016674606955693187
steel,0.0016674606955693187
alu,0.0016674606955693187
vacuum infused polyester with balsa core,0.0015483563601715103
fg (solid),0.0014292520247737017
fg or plywood,0.0014292520247737017
fg or wood,0.0014292520247737017
fg solid laminate,0.0013101476893758932
wood (clinker),0.0013101476893758932
fg/balsa cored deck,0.0013101476893758932
abs,0.0011910433539780848
frp,0.0009528346831824678
fg w/balsa core,0.0009528346831824678
wood (strip planked),0.0009528346831824678
fg w/balsa core hull & deck,0.0009528346831824678
trilam polyethylene,0.0008337303477846593
carbon fiber,0.0008337303477846593
aluminum or steel,0.0008337303477846593
fg infusion w/balsa & klegecell,0.0007146260123868509
plywood or fg,0.0007146260123868509
fg w/klegecell core,0.0007146260123868509
fg w/balsa cored hull & deck,0.0007146260123868509
wood (mahogany),0.0007146260123868509
fg w/ vacuum infusion,0.0007146260123868509
fg foam sand. hull & deck,0.0005955216769890424
fg/solid laminate,0.0005955216769890424
fg solid,0.0005955216769890424
fg/composite,0.0005955216769890424
wood clinker,0.0005955216769890424
fg w/foam core,0.0005955216769890424
fg w/plywood cored deck,0.0005955216769890424
polyethyline,0.0005955216769890424
roto molded poly,0.0005955216769890424
pvc,0.0005955216769890424
fg w/airex core,0.0005955216769890424
wood/grp,0.0005955216769890424
various,0.0005955216769890424
fg/foam sandwich,0.0005955216769890424
eglass/vacuum formed sandwich,0.0005955216769890424
fg w/ foam sandwich,0.0004764173415912339
marine ply w/carbon fiber and epoxy resin,0.0004764173415912339
fg w/balsa cored deck and coach,0.0004764173415912339
roto-moulded polyethylene,0.0004764173415912339
fg with vacuum bonded pvc/foam,0.0004764173415912339
tecrothene 121,0.0004764173415912339
wood lapstrake/fg,0.0004764173415912339
plywood/single chine,0.0004764173415912339
comptec pe3 polyethylene,0.0004764173415912339
heytex 5509 (inflatable),0.0004764173415912339
epoxy/foam sand. w/e-glass,0.0004764173415912339
"fg solid hull, balsa cored deck",0.0004764173415912339
wood/fg/composite,0.0004764173415912339
wood - clinker,0.0004764173415912339
wood /fg,0.0004764173415912339
plywood epoxy,0.00035731300619342544
carbon/composite,0.00035731300619342544
fg with wood deck and cabin,0.00035731300619342544
carbon/epoxy sandwich,0.00035731300619342544
fg w/airex cored deck,0.00035731300619342544
rotomolded polyethylene,0.00035731300619342544
molded plywood/fg,0.00035731300619342544
fg w/balsa core deck,0.00035731300619342544
grp carbon epoxy,0.00035731300619342544
vacuum infused hull,0.00035731300619342544
fg w/foam core deck,0.00035731300619342544
e glass w/vinyl/pvc core,0.00035731300619342544
wood-clinker,0.00035731300619342544
wood/steel,0.00035731300619342544
fg hull,0.00035731300619342544
"wood planked, (mahogany, oak frames)",0.00035731300619342544
fg w/airex cored hull,0.00035731300619342544
fg (composite),0.00035731300619342544
fg w/vinylester resin,0.00035731300619342544
infused vinylester and polyester w/ foam core,0.00035731300619342544
fg/balsa core deck,0.00035731300619342544
edpm tire/natural rubber,0.00035731300619342544
wood or grp,0.00035731300619342544
balsa sandwich infused fg hull,0.00035731300619342544
fg/sandwich,0.00035731300619342544
frp / balsa sandwich above waterline,0.00035731300619342544
wood/steel/fg,0.00035731300619342544
carbon fiber w/corecell foam core,0.00035731300619342544
grp w/pvc core,0.00035731300619342544
molded plywood,0.00035731300619342544
alum,0.00035731300619342544
wood planked (teak),0.00035731300619342544
e-glass/cabon,0.00035731300619342544
vacuum infused e-glass vinylester/polyester,0.00035731300619342544
1100 dtex edpm tire/natural rubber,0.00023820867079561695
foam sandwich/carbon/kevlar,0.00023820867079561695
"grp w/ pvc foam sandwich, polyester resin",0.00023820867079561695
kevlar foam epoxy pre-preg,0.00023820867079561695
grp vinylester sandwich,0.00023820867079561695
fg solid hull/plywood deck,0.00023820867079561695
fg foam sandwich,0.00023820867079561695
wood multi chine,0.00023820867079561695
wood (stitch and glue plywood),0.00023820867079561695
fg w/polyester foam core,0.00023820867079561695
wood - planked mahogany,0.00023820867079561695
infused composite hull with vinylester resin,0.00023820867079561695
plywood/fg - single chine,0.00023820867079561695
fg w/carbon & kev,0.00023820867079561695
vacuum infusion vinylester resin with carbon fiber and kevlar,0.00023820867079561695
fiberglass,0.00023820867079561695
grp w/pvc foam core,0.00023820867079561695
fg foam core,0.00023820867079561695
grp w/vacuum infused polyester and vinylester,0.00023820867079561695
"e glass, divinicel composite foam infused with vinylester resins",0.00023820867079561695
fg w/no core,0.00023820867079561695
fg w/divinycell core deck,0.00023820867079561695
"foam-cored, vacuum-infused fg",0.00023820867079561695
fg w/ airex cored deck,0.00023820867079561695
fg or ply,0.00023820867079561695
fg/aluminum,0.00023820867079561695
carbon fiber composite foam sandwich,0.00023820867079561695
fg foam core/infusion,0.00023820867079561695
vacuum-bagged resin infusion,0.00023820867079561695
carbon epoxy foam,0.00023820867079561695
cold- molded wood,0.00023820867079561695
fg with pvc core,0.00023820867079561695
molded fiberglass,0.00023820867079561695
cold molded or ply with chine,0.00023820867079561695
solid frp,0.00023820867079561695
wood ('hot molded' laminate),0.00023820867079561695
resin infused grp,0.00023820867079561695
fg w/airex in hull and balsa deck,0.00023820867079561695
ply/single chine,0.00023820867079561695
epoxy/foam sandwich,0.00023820867079561695
fg w/foam pvc sandwich,0.00023820867079561695
"pvc foam-cored, vacuum-infused grp",0.00023820867079561695
fg/ply/alu,0.00023820867079561695
fg-foam cored hull-balsa deck,0.00023820867079561695
resin infus./pvc foam hull side/balsa deck,0.00023820867079561695
fg w/foam cored deck,0.00023820867079561695
natural rubber,0.00023820867079561695
multi-chine plyw/epoxy,0.00023820867079561695
steel/fg/ferro,0.00023820867079561695
fg sandwich hull & deck,0.00023820867079561695
epoxy infused carbon & foam core,0.00023820867079561695
fg infusion w/klegecell core,0.00023820867079561695
plywood (hard chine),0.00023820867079561695
fg w/closed cell foam core,0.00023820867079561695
steel alum. or wood,0.00023820867079561695
fg/abs,0.00023820867079561695
fg/ w/epoxy & nomex (nylon) core,0.00023820867079561695
frp w/pvc foam core,0.00023820867079561695
fg w/divin. deck & hull,0.00023820867079561695
fg/balsa cored foredeck,0.00023820867079561695
multi-chine ply w/fg,0.00023820867079561695
"fg airex hull, divinicell deck",0.00023820867079561695
fg foam sand. coach roof and deck,0.00023820867079561695
wood or fiberglass,0.00023820867079561695
infused composite fg with vinylester resin and balsa core,0.00023820867079561695
fg solid lamine hull/ cored deck,0.00023820867079561695
mahogany on oak,0.00023820867079561695
monolithic polyester contact,0.00023820867079561695
biax. e glass w/dyvinicel foam core,0.00023820867079561695
wood/fg/double chine,0.00023820867079561695
grp w/balsa sandwich,0.00023820867079561695
fg/balsa sandwich,0.00023820867079561695
grp w/balsa core,0.00023820867079561695
solid fg hull and deck,0.00023820867079561695
thermo plastic,0.00023820867079561695
fg solid hull/ply sandwich deck,0.00023820867079561695
fg/vinylester (composite infusion),0.00023820867079561695
aluminum multi-chine,0.00023820867079561695
plywoo/fg,0.00023820867079561695
fg w/balsa deck & coach,0.00023820867079561695
"wood or fg, single chine",0.00023820867079561695
wood (hot molded)/fg,0.00023820867079561695
wood strip planked/fg w/balsa deck,0.00023820867079561695
steel (multichine),0.00023820867079561695
"balsa core sandwich set in polyester resin, exterior layer of vinylester",0.00023820867079561695
infused epoxy,0.00023820867079561695
e-glass vinylester,0.00023820867079561695
"vacuum infused hull, sandwich balsa/ polyester",0.00023820867079561695
wood/grp/composite,0.00023820867079561695
roto molded poly/tri-skin foam sand,0.00023820867079561695
fg hull; wood coachroof,0.00023820867079561695
fg w/devinacell,0.00023820867079561695
fg w/ vinylester resin; pvc foam core,0.00023820867079561695
wood/fg/other,0.00023820867079561695
fg w/pvc foam/vinylsester,0.00023820867079561695
