,Designer
sparkman & stephens,0.019056693663649357
german frers,0.012148642210576465
robert perry,0.01179132920438304
judel/vrolijk,0.010719390185802763
e. g. van de stadt,0.010600285850404954
william shaw,0.00857551214864221
bruce farr,0.007622677465459742
gary mull,0.0072653644592663175
niels jeppesen,0.0072653644592663175
philippe briand,0.0070271557884707
rob humphreys,0.006908051453072892
groupe finot,0.006788947117675083
marc lombard,0.006550738446879466
ron holland,0.0064316341114816575
carl alberg,0.005955216769890424
doug peterson,0.005717008099094807
philip rhodes,0.005717008099094807
j&j design,0.005717008099094807
bill dixon,0.005717008099094807
william tripp jr,0.005240590757503573
ted hood,0.005121486422105765
pelle petterson,0.0050023820867079564
bruce king,0.004883277751310148
charles morgan,0.004764173415912339
ted irwin,0.004645069080514531
laurent giles,0.004645069080514531
david thomas,0.004287756074321105
c. william lapworth,0.0041686517389232965
jim taylor,0.004049547403525489
hunter design team,0.004049547403525489
peter norlin,0.004049547403525489
gerry douglas,0.004049547403525489
umberto felci,0.00393044306812768
ted brewer,0.00393044306812768
william crealock,0.00393044306812768
william garden,0.003692234397332063
frans maas,0.003692234397332063
van de stadt,0.0035731300619342545
germán frers,0.0035731300619342545
angus primrose,0.003454025726536446
olle enderlein,0.003454025726536446
glenn henderson,0.003454025726536446
ed dubois,0.003454025726536446
humphreys yacht design,0.0033349213911386373
holman & pye,0.0033349213911386373
andrzej skrzat,0.0033349213911386373
tony castro,0.0033349213911386373
berret-racoupeau,0.0033349213911386373
bob johnson,0.0032158170557408288
daniel andrieu,0.0032158170557408288
roger macgregor,0.0030967127203430206
dick zaal,0.0030967127203430206
stephen jones,0.002977608384945212
berret/racoupeau,0.002977608384945212
bruce kirby,0.002977608384945212
håkan södergren,0.0028585040495474035
farr yacht design,0.002739399714149595
tim jackett,0.002739399714149595
group finot,0.0026202953787517864
joubert-nivelt,0.0026202953787517864
jean berret,0.0025011910433539782
alan buchanan,0.0025011910433539782
stan huntingford,0.0025011910433539782
leif ängermark,0.0023820867079561697
morrelli & melvin,0.0023820867079561697
andré bénéteau,0.0023820867079561697
julian everitt,0.0023820867079561697
arthur edmunds,0.0023820867079561697
jacek daszkiewicz,0.0023820867079561697
finot,0.002262982372558361
dick carter,0.002262982372558361
carl schumacher,0.002262982372558361
vplp design,0.002262982372558361
j & j design,0.002262982372558361
ian farrier,0.0021438780371605525
halsey herreshoff,0.0021438780371605525
robert tucker,0.0021438780371605525
shad turner,0.0021438780371605525
thomas gillmer,0.0020247737017627444
chuck paine,0.0020247737017627444
axel mohnhaupt,0.0020247737017627444
ian proctor,0.0020247737017627444
peter milne,0.0020247737017627444
p. briand,0.0020247737017627444
lyle hess,0.0019056693663649356
david pedrick,0.0019056693663649356
william lapworth,0.0019056693663649356
cuthbertson & cassian,0.0019056693663649356
rolf magnusson,0.0019056693663649356
maurice griffiths,0.0017865650309671272
uffa fox,0.0017865650309671272
jacques fauroux,0.0017865650309671272
alan payne,0.0017865650309671272
michel dufour,0.0016674606955693187
a. e. luders,0.0016674606955693187
carl andersson,0.0016674606955693187
frank butler,0.0016674606955693187
carl beyer,0.0016674606955693187
wyatt and freeman,0.0016674606955693187
graham & schlageter,0.0015483563601715103
tord sundén,0.0015483563601715103
hans groop,0.0015483563601715103
judel/vrolijk & co,0.0015483563601715103
javier soto acebal,0.0015483563601715103
einar ohlson,0.0015483563601715103
simonis voogd,0.0015483563601715103
phillipe briand,0.0015483563601715103
lock crowther,0.0015483563601715103
mortain & mavrikios,0.0015483563601715103
finot-conq,0.0015483563601715103
g. william mcvay,0.0015483563601715103
francois sergent,0.0015483563601715103
nelson/marek,0.0015483563601715103
johann tanzer,0.0014292520247737017
joubert/nivelt,0.0014292520247737017
dieter empacher,0.0014292520247737017
peter brett,0.0014292520247737017
elvstrøm & kjærulff,0.0014292520247737017
heribert streuer,0.0014292520247737017
george hinterhoeller,0.0014292520247737017
michel joubert,0.0014292520247737017
nick hake,0.0014292520247737017
