,Fuel
76 l,0.020009528346831826
151 l,0.01810385898046689
45 l,0.01322058122915674
114 l,0.012505955216769891
68 l,0.011434016198189614
189 l,0.010362077179609339
57 l,0.010123868508813721
38 l,0.009647451167222487
95 l,0.009647451167222487
379 l,0.008813720819437827
201 l,0.008813720819437827
91 l,0.008099094807050978
98 l,0.007146260123868509
227 l,0.0070271557884707
303 l,0.006908051453072892
42 l,0.006788947117675083
83 l,0.006788947117675083
30 l,0.006074321105288233
132 l,0.005836112434492616
208 l,0.005717008099094807
26 l,0.005597903763696998
250 l,0.00547879942829919
79 l,0.005359695092901381
220 l,0.0050023820867079564
200 l,0.0050023820867079564
61 l,0.004883277751310148
159 l,0.004645069080514531
129 l,0.004645069080514531
136 l,0.004645069080514531
170 l,0.004525964745116722
500 l,0.004406860409718914
140 l,0.004406860409718914
454 l,0.004287756074321105
150 l,0.004287756074321105
121 l,0.0041686517389232965
265 l,0.004049547403525489
49 l,0.00393044306812768
64 l,0.003811338732729871
23 l,0.003811338732729871
400 l,0.003811338732729871
284 l,0.003454025726536446
53 l,0.0033349213911386373
100 l,0.0032158170557408288
110 l,0.0030967127203430206
401 l,0.002977608384945212
182 l,0.0028585040495474035
299 l,0.0028585040495474035
598 l,0.0028585040495474035
144 l,0.0026202953787517864
106 l,0.0026202953787517864
341 l,0.0026202953787517864
757 l,0.0026202953787517864
34 l,0.0026202953787517864
50 l,0.0025011910433539782
238 l,0.0023820867079561697
473 l,0.0023820867079561697
800 l,0.0023820867079561697
416 l,0.0021438780371605525
606 l,0.0021438780371605525
568 l,0.0021438780371605525
210 l,0.0020247737017627444
60 l,0.0020247737017627444
300 l,0.0020247737017627444
72 l,0.0019056693663649356
700 l,0.0019056693663649356
125 l,0.0019056693663649356
280 l,0.0017865650309671272
19 l,0.0017865650309671272
"1,200 l",0.0016674606955693187
946 l,0.0016674606955693187
180 l,0.0016674606955693187
40 l,0.0016674606955693187
397 l,0.0016674606955693187
160 l,0.0016674606955693187
"1,136 l",0.0016674606955693187
25 l,0.0015483563601715103
102 l,0.0015483563601715103
75 l,0.0015483563601715103
"1,000 l",0.0014292520247737017
246 l,0.0014292520247737017
70 l,0.0014292520247737017
492 l,0.0014292520247737017
197 l,0.0014292520247737017
530 l,0.0014292520247737017
235 l,0.0014292520247737017
90 l,0.0014292520247737017
750 l,0.0013101476893758932
80 l,0.0013101476893758932
178 l,0.0013101476893758932
681 l,0.0013101476893758932
120 l,0.0013101476893758932
833 l,0.0011910433539780848
360 l,0.0011910433539780848
450 l,0.0011910433539780848
87 l,0.0011910433539780848
240 l,0.0010719390185802763
322 l,0.0010719390185802763
130 l,0.0010719390185802763
15 l,0.0009528346831824678
999 l,0.0009528346831824678
174 l,0.0009528346831824678
148 l,0.0009528346831824678
901 l,0.0008337303477846593
348 l,0.0008337303477846593
600 l,0.0008337303477846593
318 l,0.0008337303477846593
216 l,0.0008337303477846593
"1,499 l",0.0008337303477846593
231 l,0.0007146260123868509
719 l,0.0007146260123868509
270 l,0.0007146260123868509
204 l,0.0007146260123868509
432 l,0.0007146260123868509
662 l,0.0007146260123868509
326 l,0.0007146260123868509
"2,000 l",0.0007146260123868509
"1,514 l",0.0007146260123868509
273 l,0.0007146260123868509
212 l,0.0007146260123868509
230 l,0.0007146260123868509
190 l,0.0007146260123868509
"1,040 l",0.0007146260123868509
335 l,0.0007146260123868509
"1,900 l",0.0007146260123868509
900 l,0.0007146260123868509
117 l,0.0007146260123868509
"1,999 l",0.0005955216769890424
950 l,0.0005955216769890424
"1,298 l",0.0005955216769890424
644 l,0.0005955216769890424
11 l,0.0005955216769890424
65 l,0.0005955216769890424
"1,098 l",0.0005955216769890424
167 l,0.0005955216769890424
660 l,0.0005955216769890424
908 l,0.0005955216769890424
481 l,0.0005955216769890424
852 l,0.0005955216769890424
"3,785 l",0.0005955216769890424
560 l,0.0005955216769890424
"1,100 l",0.0005955216769890424
"1,893 l",0.0005955216769890424
625 l,0.0005955216769890424
344 l,0.0004764173415912339
420 l,0.0004764173415912339
195 l,0.0004764173415912339
650 l,0.0004764173415912339
320 l,0.0004764173415912339
712 l,0.0004764173415912339
439 l,0.0004764173415912339
790 l,0.0004764173415912339
613 l,0.0004764173415912339
255 l,0.0004764173415912339
469 l,0.0004764173415912339
78 l,0.0004764173415912339
375 l,0.0004764173415912339
288 l,0.0004764173415912339
"1,401 l",0.0004764173415912339
350 l,0.0004764173415912339
310 l,0.0004764173415912339
193 l,0.0004764173415912339
405 l,0.0004764173415912339
276 l,0.0004764173415912339
185 l,0.0004764173415912339
939 l,0.0004764173415912339
155 l,0.0004764173415912339
799 l,0.0004764173415912339
409 l,0.00035731300619342544
"1,931 l",0.00035731300619342544
35 l,0.00035731300619342544
356 l,0.00035731300619342544
445 l,0.00035731300619342544
"1,363 l",0.00035731300619342544
480 l,0.00035731300619342544
"2,048 l",0.00035731300619342544
307 l,0.00035731300619342544
425 l,0.00035731300619342544
"1,079 l",0.00035731300619342544
"1,325 l",0.00035731300619342544
269 l,0.00035731300619342544
20 l,0.00035731300619342544
105 l,0.00035731300619342544
295 l,0.00035731300619342544
522 l,0.00035731300619342544
424 l,0.00035731300619342544
371 l,0.00035731300619342544
443 l,0.00035731300619342544
615 l,0.00035731300619342544
370 l,0.00035731300619342544
85 l,0.00035731300619342544
550 l,0.00035731300619342544
435 l,0.00035731300619342544
602 l,0.00035731300619342544
"1,060 l",0.00035731300619342544
175 l,0.00035731300619342544
163 l,0.00035731300619342544
"1,779 l",0.00035731300619342544
848 l,0.00035731300619342544
"1,022 l",0.00035731300619342544
538 l,0.00035731300619342544
549 l,0.00035731300619342544
829 l,0.00035731300619342544
927 l,0.00023820867079561695
257 l,0.00023820867079561695
43 l,0.00023820867079561695
380 l,0.00023820867079561695
"1,334 l",0.00023820867079561695
455 l,0.00023820867079561695
519 l,0.00023820867079561695
651 l,0.00023820867079561695
614 l,0.00023820867079561695
"1,500 l",0.00023820867079561695
54 l,0.00023820867079561695
520 l,0.00023820867079561695
"1,420 l",0.00023820867079561695
"2,998 l",0.00023820867079561695
10 l,0.00023820867079561695
844 l,0.00023820867079561695
"1,067 l",0.00023820867079561695
376 l,0.00023820867079561695
738 l,0.00023820867079561695
225 l,0.00023820867079561695
"15,809 l",0.00023820867079561695
"2,650 l",0.00023820867079561695
215 l,0.00023820867079561695
165 l,0.00023820867079561695
"2,082 l",0.00023820867079561695
515 l,0.00023820867079561695
285 l,0.00023820867079561695
430 l,0.00023820867079561695
"3,199 l",0.00023820867079561695
"2,800 l",0.00023820867079561695
"1,609 l",0.00023820867079561695
931 l,0.00023820867079561695
640 l,0.00023820867079561695
337 l,0.00023820867079561695
795 l,0.00023820867079561695
286 l,0.00023820867079561695
146 l,0.00023820867079561695
503 l,0.00023820867079561695
"1,438 l",0.00023820867079561695
495 l,0.00023820867079561695
447 l,0.00023820867079561695
415 l,0.00023820867079561695
590 l,0.00023820867079561695
920 l,0.00023820867079561695
"1,968 l",0.00023820867079561695
"1,080 l",0.00023820867079561695
333 l,0.00023820867079561695
879 l,0.00023820867079561695
"1,700 l",0.00023820867079561695
261 l,0.00023820867079561695
"1,050 l",0.00023820867079561695
803 l,0.00023820867079561695
"1,049 l",0.00023820867079561695
"2,271 l",0.00023820867079561695
580 l,0.00023820867079561695
460 l,0.00023820867079561695
940 l,0.00023820867079561695
470 l,0.00023820867079561695
395 l,0.00023820867079561695
840 l,0.00023820867079561695
996 l,0.00023820867079561695
290 l,0.00023820867079561695
"2,461 l",0.00023820867079561695
"1,041 l",0.00023820867079561695
"1,102 l",0.00023820867079561695
723 l,0.00023820867079561695
779 l,0.00023820867079561695
"1,223 l",0.00023820867079561695
