,Make
yanmar,0.14721295855169128
volvo,0.07491662696522153
volvo penta,0.07455931395902811
perkins,0.04883277751310148
universal,0.038947117675083374
westerbeke,0.021676989042401142
bukh,0.007503573130061935
nanni,0.005240590757503573
farymann,0.0041686517389232965
ford lehman,0.003692234397332063
pathfinder,0.0032158170557408288
palmer,0.0028585040495474035
gray,0.002739399714149595
thornycroft,0.0025011910433539782
renault,0.0023820867079561697
outboard,0.0023820867079561697
bmw,0.002262982372558361
mercedes,0.002262982372558361
lombardini,0.0020247737017627444
volvo-penta,0.0019056693663649356
vire,0.0019056693663649356
gray marine,0.0017865650309671272
ford,0.0015483563601715103
albin,0.0015483563601715103
faryman,0.0013101476893758932
volvo or yanmar,0.0011910433539780848
yanmar or volvo,0.0010719390185802763
bmc,0.0010719390185802763
mercedes benz,0.0010719390185802763
isuzu,0.0009528346831824678
beta,0.0009528346831824678
sole,0.0009528346831824678
saab,0.0009528346831824678
ob,0.0008337303477846593
yanmar or perkins,0.0008337303477846593
watermota,0.0008337303477846593
pisces,0.0008337303477846593
2x yanmar,0.0008337303477846593
thorneycroft,0.0007146260123868509
cummins,0.0007146260123868509
seapanther,0.0007146260123868509
petter,0.0007146260123868509
honda,0.0005955216769890424
lehman,0.0005955216769890424
vetus,0.0005955216769890424
lehman ford,0.0005955216769890424
various,0.0004764173415912339
yanmar/perkins,0.0004764173415912339
farryman,0.0004764173415912339
mitsubishi,0.0004764173415912339
yanmar (opt.),0.0004764173415912339
ailsa,0.00035731300619342544
westerbeke or volvo,0.00035731300619342544
lister,0.00035731300619342544
fiat,0.00035731300619342544
yanmar w/saildrive,0.00035731300619342544
torqeedo,0.00035731300619342544
stuart-turner,0.00035731300619342544
caterpillar,0.00035731300619342544
john deere,0.00035731300619342544
steyr,0.00035731300619342544
chrysler,0.00023820867079561695
"bmw, volvo or westerbeke",0.00023820867079561695
farrymann,0.00023820867079561695
perkins or thornycroft,0.00023820867079561695
kermath,0.00023820867079561695
omc,0.00023820867079561695
brit sprite,0.00023820867079561695
petters,0.00023820867079561695
renault couach,0.00023820867079561695
thornycraft,0.00023820867079561695
sole/mitsubishi or ford,0.00023820867079561695
albin or vire,0.00023820867079561695
perkins/nanni,0.00023820867079561695
wickstrom,0.00023820867079561695
lathrop,0.00023820867079561695
greymarine,0.00023820867079561695
couach,0.00023820867079561695
volvo or perkins,0.00023820867079561695
perkiins,0.00023820867079561695
ford-lehman,0.00023820867079561695
arona,0.00023820867079561695
utombordare,0.00023820867079561695
renault or perkins,0.00023820867079561695
volvo opt,0.00023820867079561695
yanmar or bmw,0.00023820867079561695
yanmar w/ saildrive,0.00023820867079561695
farymann/bukh,0.00023820867079561695
westerbeke w/v-drive,0.00023820867079561695
ford-lehman/perkens,0.00023820867079561695
volvo penta (saildrive),0.00023820867079561695
var,0.00023820867079561695
lister petter,0.00023820867079561695
drofin-sernagiotto,0.00023820867079561695
perkins or yanmar,0.00023820867079561695
stuart turner,0.00023820867079561695
ford/watermota,0.00023820867079561695
ford lehman/perkins,0.00023820867079561695
perkins/sabre,0.00023820867079561695
westerbeke or yanmar,0.00023820867079561695
palmer /gray marine,0.00023820867079561695
nanni/yanmar,0.00023820867079561695
kermath (gas) or ob,0.00023820867079561695
vovlo,0.00011910433539780847
ob in retractable pod,0.00011910433539780847
diesel,0.00011910433539780847
chrysler/nissian,0.00011910433539780847
wortham blake,0.00011910433539780847
perkins sabre,0.00011910433539780847
weterbeke,0.00011910433539780847
daimler-benz,0.00011910433539780847
faryman or  volvo,0.00011910433539780847
vw marine,0.00011910433539780847
atomic 4,0.00011910433539780847
grey marine,0.00011910433539780847
palmer (opt.),0.00011910433539780847
volvo or  yanmar,0.00011910433539780847
bmw oryanmar,0.00011910433539780847
lauson,0.00011910433539780847
perkin,0.00011910433539780847
scania,0.00011910433539780847
selva,0.00011910433539780847
yamaha,0.00011910433539780847
trident,0.00011910433539780847
volvo (opt.),0.00011910433539780847
twin outboards in wells,0.00011910433539780847
volvo penta w/s-drive,0.00011910433539780847
ford lehmann,0.00011910433539780847
westerbeke/perkins,0.00011910433539780847
bukh or volvo,0.00011910433539780847
lehman/ford,0.00011910433539780847
volvo/lombardini,0.00011910433539780847
perkens,0.00011910433539780847
chrysler/nissan,0.00011910433539780847
peter,0.00011910433539780847
thomycroft,0.00011910433539780847
beta marine,0.00011910433539780847
coventry,0.00011910433539780847
universal or perkins,0.00011910433539780847
twin diesel,0.00011910433539780847
thornycroft t90 35hp or volvo 2003 28hp diesel,0.00011910433539780847
volov,0.00011910433539780847
parsons,0.00011910433539780847
detroit,0.00011910433539780847
graymarine,0.00011910433539780847
yanmar x 2,0.00011910433539780847
westerbeke or pathfinder,0.00011910433539780847
british leyland,0.00011910433539780847
universal m30,0.00011910433539780847
e-tech,0.00011910433539780847
universal or pathfinder,0.00011910433539780847
watermotar,0.00011910433539780847
rca,0.00011910433539780847
volvo saildrive,0.00011910433539780847
volvo penta 2030,0.00011910433539780847
yanmar 2gm,0.00011910433539780847
lehman or perkins,0.00011910433539780847
nani,0.00011910433539780847
oceanvolt,0.00011910433539780847
yamaha saildrive,0.00011910433539780847
2 cyl. diesel,0.00011910433539780847
parson-ford,0.00011910433539780847
buhk,0.00011910433539780847
yanmar or westerbeke,0.00011910433539780847
torqeedo cruise,0.00011910433539780847
mercedes-benz,0.00011910433539780847
optional torqeedo,0.00011910433539780847
farymann/vire,0.00011910433539780847
60 hp diesel,0.00011910433539780847
volvo penta w/saildrive,0.00011910433539780847
vovlo penta,0.00011910433539780847
isuzu pisces,0.00011910433539780847
newage,0.00011910433539780847
ford-parsons,0.00011910433539780847
volvo diesel w/saildrive,0.00011910433539780847
kraütler,0.00011910433539780847
vw,0.00011910433539780847
inboard opt,0.00011910433539780847
atomic 4 or ob,0.00011910433539780847
unimite,0.00011910433539780847
nissan-chrysler,0.00011910433539780847
