,Model
atomic 4,0.023939971414959505
4-108,0.00786088613625536
2003.0,0.0072653644592663175
2gm,0.00393044306812768
4-107,0.003811338732729871
2002.0,0.003811338732729871
4108.0,0.003811338732729871
4-236,0.003454025726536446
2gm20,0.0033349213911386373
d1-20,0.0032158170557408288
md7a,0.0032158170557408288
d2-40,0.0030967127203430206
1gm,0.002739399714149595
2030.0,0.0026202953787517864
md2b,0.0026202953787517864
d1-30,0.0025011910433539782
3gm30f,0.0025011910433539782
2gmf,0.002262982372558361
1gm10,0.002262982372558361
3gm,0.002262982372558361
d2-55,0.0021438780371605525
md6a,0.0019056693663649356
3ym30,0.0017865650309671272
d2-75,0.0017865650309671272
md2030,0.0017865650309671272
3ym20,0.0017865650309671272
md11c,0.0017865650309671272
md5,0.0016674606955693187
4-154,0.0016674606955693187
4.108,0.0015483563601715103
4jh2e,0.0014292520247737017
d4-180,0.0014292520247737017
2001.0,0.0014292520247737017
md11,0.0013101476893758932
4jh4e,0.0013101476893758932
md5a,0.0013101476893758932
3jh2e,0.0013101476893758932
3jh4e,0.0013101476893758932
4jh3-te,0.0013101476893758932
2gm20f,0.0011910433539780848
3gm30,0.0011910433539780848
4jh4,0.0011910433539780848
md1,0.0011910433539780848
2ym15,0.0011910433539780848
d2,0.0009528346831824678
d3-110,0.0009528346831824678
4jhe,0.0009528346831824678
md22,0.0009528346831824678
6-354,0.0009528346831824678
4jh80,0.0009528346831824678
outboard,0.0009528346831824678
md17c,0.0008337303477846593
3ym20c,0.0008337303477846593
saildrive,0.0008337303477846593
md 2020,0.0008337303477846593
md7b,0.0008337303477846593
d1,0.0008337303477846593
4jh4-hte,0.0008337303477846593
md1b,0.0008337303477846593
40.0,0.0007146260123868509
md 7a,0.0007146260123868509
4jh3be,0.0007146260123868509
m-60,0.0007146260123868509
4jh57,0.0007146260123868509
d4-175,0.0007146260123868509
md 11c,0.0007146260123868509
md 2010,0.0007146260123868509
t90,0.0007146260123868509
md22l,0.0007146260123868509
3gmf,0.0007146260123868509
d2-60,0.0007146260123868509
2qm20h,0.0007146260123868509
50.0,0.0007146260123868509
4236.0,0.0007146260123868509
md2040,0.0007146260123868509
md-1,0.0005955216769890424
2qm15g,0.0005955216769890424
491.0,0.0005955216769890424
