,Type
diesel,0.4757027155788471
gas,0.04263935207241543
diesel; saildrive,0.013816102906145784
outboard,0.011314911862791805
diesel x 2,0.009647451167222487
diesel x2,0.0026202953787517864
outboard well,0.0013101476893758932
diesel twin,0.0011910433539780848
dieselx2,0.0011910433539780848
diesel; shaft drive,0.0007146260123868509
diesel sail drive,0.0005955216769890424
ob x 2,0.0004764173415912339
electric,0.0004764173415912339
"diesel, saildrive",0.0004764173415912339
twin diesel,0.0004764173415912339
gasoline,0.00035731300619342544
diesel;saildrive,0.00035731300619342544
diesel; sail drive,0.00035731300619342544
desiel,0.00035731300619342544
diesel (twin),0.00023820867079561695
var,0.00023820867079561695
center mount outboard well,0.00023820867079561695
saildrive,0.00023820867079561695
outboard x 2,0.00023820867079561695
sail area:iesel,0.00023820867079561695
diesel; shaft,0.00023820867079561695
diesel / shaft drive,0.00023820867079561695
gas outboard,0.00023820867079561695
outboard; long shaft,0.00023820867079561695
2x 160a agm battery,0.00023820867079561695
inboard,0.00023820867079561695
disel,0.00023820867079561695
diesel; saildrives,0.00023820867079561695
gas (or kerosene),0.00023820867079561695
deisel,0.00023820867079561695
gas outboards,0.00023820867079561695
650.0,0.00023820867079561695
gas w/v-drive,0.00023820867079561695
diesel/shaft drive,0.00023820867079561695
gas w/vdrive,0.00023820867079561695
"diesel, shaft",0.00023820867079561695
"diesel, sail drive",0.00011910433539780847
obrd. retract,0.00011910433539780847
"diesel, shaft drive",0.00011910433539780847
diesel w/sd,0.00011910433539780847
various,0.00011910433539780847
dslx2; saildrive,0.00011910433539780847
2x diesel; saildrive,0.00011910433539780847
diesel + parallel hybrid drives,0.00011910433539780847
24v e-saildrive,0.00011910433539780847
diesel; saildive,0.00011910433539780847
diesel: saildrive,0.00011910433539780847
diesel w/vdrive,0.00011910433539780847
diesel:saildrive,0.00011910433539780847
diesel-electric,0.00011910433539780847
optional diesel,0.00011910433539780847
twin hydro-generating outboards,0.00011910433539780847
diesel; saildrive or outboard,0.00011910433539780847
outboard; gasoline,0.00011910433539780847
diesel 2x,0.00011910433539780847
inboard or outboard well,0.00011910433539780847
gas (ob),0.00011910433539780847
diesel 2 x,0.00011910433539780847
gas inboard,0.00011910433539780847
outboard (well),0.00011910433539780847
6 kw electric; saildrive,0.00011910433539780847
outboard well on transom,0.00011910433539780847
6 cyl diesel,0.00011910433539780847
4x 12 v batteries,0.00011910433539780847
90.0,0.00011910433539780847
diesel saildrive,0.00011910433539780847
