,Water
379 l,0.017627441638875654
151 l,0.014292520247737018
76 l,0.012982372558361124
114 l,0.01095759885659838
227 l,0.009647451167222487
189 l,0.00940924249642687
98 l,0.00940924249642687
757 l,0.009290138161029061
303 l,0.008694616484040019
201 l,0.008218199142448784
568 l,0.0072653644592663175
95 l,0.006908051453072892
454 l,0.006788947117675083
265 l,0.006550738446879466
57 l,0.0064316341114816575
284 l,0.005836112434492616
250 l,0.005597903763696998
170 l,0.00547879942829919
700 l,0.005359695092901381
530 l,0.005121486422105765
300 l,0.005121486422105765
500 l,0.0050023820867079564
91 l,0.004883277751310148
360 l,0.004645069080514531
121 l,0.004525964745116722
38 l,0.004287756074321105
600 l,0.004287756074321105
341 l,0.004287756074321105
200 l,0.0041686517389232965
400 l,0.0041686517389232965
208 l,0.004049547403525489
401 l,0.004049547403525489
946 l,0.00393044306812768
110 l,0.00393044306812768
45 l,0.003811338732729871
140 l,0.003692234397332063
450 l,0.003692234397332063
182 l,0.0035731300619342545
100 l,0.003454025726536446
299 l,0.003454025726536446
681 l,0.003454025726536446
606 l,0.0032158170557408288
68 l,0.0032158170557408288
136 l,0.0032158170557408288
49 l,0.0030967127203430206
800 l,0.0030967127203430206
799 l,0.0030967127203430206
220 l,0.002977608384945212
159 l,0.0028585040495474035
132 l,0.0028585040495474035
473 l,0.002739399714149595
348 l,0.002739399714149595
598 l,0.002739399714149595
"1,200 l",0.0026202953787517864
"1,136 l",0.0026202953787517864
83 l,0.0026202953787517864
416 l,0.0026202953787517864
238 l,0.0023820867079561697
"1,000 l",0.0023820867079561697
999 l,0.0023820867079561697
549 l,0.0023820867079561697
64 l,0.0023820867079561697
780 l,0.002262982372558361
246 l,0.002262982372558361
322 l,0.002262982372558361
197 l,0.002262982372558361
19 l,0.0021438780371605525
492 l,0.0020247737017627444
329 l,0.0019056693663649356
644 l,0.0019056693663649356
204 l,0.0019056693663649356
750 l,0.0019056693663649356
318 l,0.0019056693663649356
150 l,0.0019056693663649356
80 l,0.0017865650309671272
87 l,0.0017865650309671272
53 l,0.0017865650309671272
61 l,0.0017865650309671272
397 l,0.0017865650309671272
350 l,0.0017865650309671272
231 l,0.0016674606955693187
79 l,0.0015483563601715103
90 l,0.0015483563601715103
269 l,0.0015483563601715103
719 l,0.0015483563601715103
50 l,0.0015483563601715103
178 l,0.0014292520247737017
481 l,0.0014292520247737017
"1,514 l",0.0014292520247737017
125 l,0.0014292520247737017
242 l,0.0013101476893758932
320 l,0.0013101476893758932
"1,893 l",0.0011910433539780848
435 l,0.0011910433539780848
"1,499 l",0.0011910433539780848
180 l,0.0011910433539780848
106 l,0.0011910433539780848
174 l,0.0011910433539780848
280 l,0.0011910433539780848
440 l,0.0011910433539780848
42 l,0.0011910433539780848
591 l,0.0010719390185802763
129 l,0.0010719390185802763
210 l,0.0010719390185802763
795 l,0.0010719390185802763
314 l,0.0010719390185802763
363 l,0.0010719390185802763
662 l,0.0010719390185802763
167 l,0.0010719390185802763
273 l,0.0010719390185802763
460 l,0.0010719390185802763
120 l,0.0010719390185802763
424 l,0.0010719390185802763
23 l,0.0009528346831824678
852 l,0.0009528346831824678
833 l,0.0009528346831824678
520 l,0.0008337303477846593
984 l,0.0008337303477846593
625 l,0.0008337303477846593
430 l,0.0008337303477846593
26 l,0.0008337303477846593
420 l,0.0008337303477846593
